name,category,address,score,eval_cnt,review_cnt
정통계란말이김밥,분식,(지번) 신림동 1427-14,1.8,10건,리뷰 21
이태리부대찌개 보라매점,"찌개,전골",(지번) 봉천동 702-108,3.1,9건,리뷰 28
강남곱창이야기 신림점,"곱창,막창",(지번) 신림동 1438-17,4.5,13건,리뷰 72
마티스커피 신림점,커피전문점,(지번) 서원동 1638-5,3.7,24건,리뷰 6
플레이온보드게임카페 신림점,보드카페,(지번) 신림동 1639-8,4.0,4건,리뷰 54
북촌서서갈비 신림점,갈비,(지번) 신림동 1433-71,3.2,6건,리뷰 38
구루메키친,일본식주점,(지번) 신림동 1433-95,3.8,12건,리뷰 26
설빙 신림점,디저트카페,(지번) 신림동 1640-1,1.3,23건,리뷰 28
수제킹 30Cm돈까스 신림1호점,"돈까스,우동",(지번) 신림동 1460-1,3.7,23건,리뷰 9
왕재곱창구이,"곱창,막창",(지번) 봉천동 971-14,4.0,5건,리뷰 17
역전할머니맥주 서울신림점,"호프,요리주점",(지번) 신림동 1638-24,2.4,7건,리뷰 28
자매멸치국수,국수,(지번) 신림동 1461-1,2.8,12건,리뷰 23
맥도날드 신림점,패스트푸드,(지번) 신림동 1641-22,2.6,24건,리뷰 16
스타벅스 신림역포도몰점,커피전문점,(지번) 신림동 1641-101,3.9,18건,리뷰 24
달다어요,카페,(지번) 신림동 1419-23,3.8,16건,리뷰 80
돼지고기한주먹 주먹대장 신림본점,"육류,고기",(지번) 신림동 1429-1,5.0,4건,리뷰 21
백년불고기물갈비 신림역점,갈비,(지번) 신림동 1587-10,2.4,5건,리뷰 31
스시나마,"초밥,롤",(지번) 신림동 1641-9,3.1,23건,리뷰 37
동해안회집,회,(지번) 신림동 1432-63,5.0,1건,리뷰 2
타요키즈카페 보라매점,키즈카페,(지번) 신대방동 395-69,3.7,6건,리뷰 15
버거킹 신림역점,패스트푸드,(지번) 신림동 1641-17,2.6,28건,리뷰 16
서울뼛국,해장국,(지번) 신림동 1639-57,3.1,14건,리뷰 42
함지박치즈등갈비 신림2호점,갈비,(지번) 신림동 1434-7,2.4,5건,리뷰 59
소곱소곱,"곱창,막창",(지번) 신림동 1425-8,5.0,5건,리뷰 46
신사리포차,실내포장마차,(지번) 신림동 1638-25,2.5,4건,리뷰 26
구영회참치&초밥 신림점,참치회,(지번) 신림동 1637-26,4.4,23건,리뷰 63
써브웨이 신림역점,샌드위치,(지번) 신림동 1421-29,1.6,49건,리뷰 14
도노텀블 보라매점,카페,(지번) 봉천동 735-10,3.8,12건,리뷰 33
할리스 신림점,커피전문점,(지번) 신림동 1432-72,2.9,21건,리뷰 9
차이30,중식,(지번) 신대방동 395-70,4.6,9건,리뷰 82
낮부엉이,"호프,요리주점",(지번) 신림동 1433-95,5.0,3건,리뷰 43
개미집 신림점,"해물,생선",(지번) 신림동 1640-46,3.0,9건,리뷰 47
맘스터치 신림역점,패스트푸드,(지번) 신림동 1433-51,2.4,29건,리뷰 10
신림양꼬치,양꼬치,(지번) 신림동 1425-23,4.5,2건,리뷰 27
숯총각닭발꼼장어,치킨,(지번) 신림동 1432-137,5.0,1건,리뷰 19
투썸플레이스 신림로점,커피전문점,(지번) 신림동 1641-107,3.6,12건,리뷰 8
신림집,삼겹살,(지번) 신림동 1639-30,2.7,6건,리뷰 91
똥개네퓨전포차,실내포장마차,(지번) 신림동 1423-19,4.5,4건,리뷰 42
마스터 산더미파불고기,"불고기,두루치기",(지번) 신림동 1439-13,4.5,2건,리뷰 42
신사리즉석불떡볶이,떡볶이,(지번) 신림동 1639-33,3.9,7건,리뷰 34
서가앤쿡 서울신림역점,양식,(지번) 신림동 1424-28,2.3,16건,리뷰 65
시간을들이다,"제과,베이커리",(지번) 상도동 304-12,4.3,46건,리뷰 115
홍대몬스터피자 신림점,피자,(지번) 신림동 1425-11,4.0,1건,리뷰 25
신쭈꾸미,"해물,생선",(지번) 신림동 1431-16,2.7,7건,리뷰 26
Cafe H,카페,(지번) 신림동 1442-14,3.5,11건,리뷰 17
매갈,갈비,(지번) 신림동 1439-13,3.0,1건,리뷰 38
스타벅스 보라매대교점,커피전문점,(지번) 봉천동 729-21,3.8,10건,리뷰 8
신풍루곱창,"곱창,막창",(지번) 봉천동 957-18,3.7,22건,리뷰 65
신림정,갈비,(지번) 신림동 1428-5,3.7,3건,리뷰 5
황제갈비,갈비,(지번) 신림동 1411-28,4.8,13건,리뷰 17
삼촌네,순대,(지번) 신림동 1640-38,3.5,13건,리뷰 173
혼맛스시,"초밥,롤",(지번) 신림동 1421-60,4.2,10건,리뷰 28
복돈이부추삼겹살집 신림3호점,삼겹살,(지번) 신림동 1432-88,4.2,5건,리뷰 7
더진국 신림점,국밥,(지번) 신림동 1640-1,3.4,13건,리뷰 13
솟대막걸리양조장,술집,(지번) 신림동 1637-7,3.8,12건,리뷰 28
불타는꼬꼬발 1호점,닭요리,(지번) 신림동 1464-18,5.0,5건,리뷰 20
이태리로간고등어,"해물,생선",(지번) 신대방동 395-69,2.3,16건,리뷰 86
꼬꼬아찌숯불치킨 신림역점,치킨,(지번) 신림동 1639-26,3.8,12건,리뷰 37
만물다방,다방,(지번) 봉천동 969-44,4.7,7건,리뷰 21
십원집 신림점,"육류,고기",(지번) 신림동 1424-19,4.7,3건,리뷰 14
원주골돌솥추어탕,추어,(지번) 신림동 1445-14,2.7,6건,리뷰 25
형제집,"육류,고기",(지번) 신림동 1639-16,3.0,2건,리뷰 157
순곱이네,"찌개,전골",(지번) 신림동 1433-18,4.4,11건,리뷰 62
전티마이베트남쌀국수 보라매점,베트남음식,(지번) 봉천동 702-36,4.0,6건,리뷰 35
지리산삼계탕 2호점,삼계탕,(지번) 신림동 1641-40,2.0,5건,리뷰 99
파리바게뜨 신림사거리점,"제과,베이커리",(지번) 신림동 1433-86,2.6,11건,리뷰 4
큐슈라멘 신림점,일본식라면,(지번) 신림동 1459-3,3.4,15건,리뷰 10
신안산낙지,"해물,생선",(지번) 봉천동 972-29,3.3,7건,리뷰 19
일상식당,일식,(지번) 봉천동 707-3,4.4,26건,리뷰 30
곱창나라,"곱창,막창",(지번) 신림동 1433-74,3.2,9건,리뷰 69
24시전주콩나물국밥,국밥,(지번) 신림동 1458-3,3.2,6건,리뷰 7
독특하개,애견카페,(지번) 신림동 1438-13,5.0,1건,리뷰 9
우리집팔당닭발 신림점,한식,(지번) 신림동 1430-48,4.5,2건,리뷰 80
단빠,일식집,(지번) 신대방동 395-70,4.5,2건,리뷰 9
킴쓰해물로스,"해물,생선",(지번) 신림동 1637-3,4.1,12건,리뷰 80
나는남자닭,치킨,(지번) 신림동 1424-2,4.1,14건,리뷰 15
육첩반상 신림점,"육류,고기",(지번) 신림동 1639-1,3.1,12건,리뷰 34
두만강샤브샤브양꼬치,샤브샤브,(지번) 신림동 1429-17,4.2,6건,리뷰 11
맥주활력수,"호프,요리주점",(지번) 신림동 1637-23,3.9,7건,리뷰 43
크래프트한스 신림점,"호프,요리주점",(지번) 서원동 1639-29,3.7,11건,리뷰 36
고릴라수제버거&컵밥 신림점,햄버거,(지번) 신림동 1461-1,4.3,11건,리뷰 7
옛날집,"육류,고기",(지번) 신림동 1413-17,3.9,12건,리뷰 43
베러댄와플 신림점,"제과,베이커리",(지번) 신림동 1433-127,3.9,7건,리뷰 14
북경반점,중화요리,(지번) 신림동 75-43,1.9,13건,리뷰 19
노랑통닭 신림점,치킨,(지번) 신림동 1434-8,2.8,8건,리뷰 20
문성골족발집,"족발,보쌈",(지번) 신림동 1636-35,4.3,9건,리뷰 118
시부야38 신림본점,일본식주점,(지번) 신림동 1640-30,0.0,0건,리뷰 31
게장뷔페,뷔페,(지번) 봉천동 728-61,2.5,13건,리뷰 33
KFC 보라매점,패스트푸드,(지번) 신대방동 395-73,1.9,18건,리뷰 11
써브웨이 보라매점,샌드위치,(지번) 신대방동 708,1.8,33건,리뷰 6
넥스트에디션 신림점,테마카페,(지번) 신림동 1640-1,5.0,1건,리뷰 71
신림매운등갈비찜,갈비,(지번) 신림동 1432-53,3.2,5건,리뷰 7
홍콩반점0410 신림역점,중화요리,(지번) 신림동 1639-1,3.9,14건,리뷰 17
하하호호이모포차,실내포장마차,(지번) 신림동 1425-29,5.0,2건,리뷰 13
무쏘 신림역점,"육류,고기",(지번) 신림동 1640-26,1.0,7건,리뷰 19
쉬즈베이글 신림점,디저트카페,(지번) 신림동 1433-227,2.8,5건,리뷰 14
동대문엽기떡볶이 신림점,떡볶이,(지번) 신림동 1432-175,2.0,7건,리뷰 12
단골손님 신림점,"호프,요리주점",(지번) 신림동 1640-36,1.0,1건,리뷰 37
싸움의고수 신림점,"족발,보쌈",(지번) 신림동 1637-4,2.4,18건,리뷰 21
카페베네 신림역점,커피전문점,(지번) 신림동 1640-3,2.5,6건,리뷰 9
두둑한샤브칼국수 신림점,샤브샤브,(지번) 신림동 1421-45,4.4,11건,리뷰 24
혼자두면 장판뜯어서차린 개카페,애견카페,(지번) 봉천동 959-2,3.0,4건,리뷰 29
광어&연어,회,(지번) 신림동 1464-12,4.4,5건,리뷰 21
룸펜,"호프,요리주점",(지번) 신림동 1424-3,5.0,10건,리뷰 23
봉용파절이삼겹살,"불고기,두루치기",(지번) 신림동 1443-32,2.3,6건,리뷰 17
옛골맛족발 신림직영점,"족발,보쌈",(지번) 신림동 1430-48,0.0,0건,리뷰 7
거해참치,참치회,(지번) 신림동 1422-3,4.8,4건,리뷰 21
포차끝판왕,실내포장마차,(지번) 신림동 1638-19,0.0,0건,리뷰 155
명품횡성한우가 직영점,"육류,고기",(지번) 신림동 1416-26,1.0,2건,리뷰 9
꼬주막,한식,(지번) 신림동 1433-69,2.0,1건,리뷰 83
감성오뎅,오뎅바,(지번) 신림동 1432-137,5.0,3건,리뷰 19
명동찌개마을 신림점,"찌개,전골",(지번) 신림동 1421-61,2.1,9건,리뷰 9
만나칼국수,국수,(지번) 보라매동 701-1,4.8,5건,리뷰 12
도미노피자 보라매점,피자,(지번) 봉천동 968-29,4.0,2건,리뷰 12
막샵,"호프,요리주점",(지번) 신림동 1438-28,3.0,4건,리뷰 7
진1926 보라매점,"육류,고기",(지번) 신대방동 395-73,4.7,12건,리뷰 21
흥부보쌈,"족발,보쌈",(지번) 신림동 1638-20,4.3,6건,리뷰 61
1943,"호프,요리주점",(지번) 신림동 1640-13,2.0,1건,리뷰 7
아우성황소곱창 신림1호점,"곱창,막창",(지번) 신림동 1433-66,4.0,5건,리뷰 35
로데오김밥 보라매점,분식,(지번) 봉천동 972-1,5.0,8건,리뷰 0
양떼목장양꼬치,양꼬치,(지번) 신림동 1421-60,3.7,3건,리뷰 25
공차 신림역점,카페,(지번) 신림동 1433-49,2.8,15건,리뷰 14
성민양꼬치 신림역점,양꼬치,(지번) 신림동 1639-64,2.3,7건,리뷰 12
백스비어 신림역점,"호프,요리주점",(지번) 신림동 1640-36,2.0,3건,리뷰 9
셜록홈즈 신림1호점,테마카페,(지번) 신림동 1639-27,3.3,4건,리뷰 29
설빙 보라매점,디저트카페,(지번) 신대방동 708,1.3,3건,리뷰 11
신림닭꼬치,닭요리,(지번) 신림동 1439-18,4.5,8건,리뷰 12
포원제로 신림점,햄버거,(지번) 신림동 1458-3,4.5,4건,리뷰 38
돈가대박집,삼겹살,(지번) 봉천동 967-17,3.3,6건,리뷰 9
차르도르&펫살롱,애견카페,(지번) 봉천동 702-102,5.0,2건,리뷰 3
육쌈냉면 신림점,냉면,(지번) 신림동 1638-20,2.6,27건,리뷰 33
한신포차 신림역점,실내포장마차,(지번) 신림동 1640-14,2.4,5건,리뷰 14
키오참치 신림본점,참치회,(지번) 신림동 11-19,3.5,6건,리뷰 10
롯데리아 신림역점,패스트푸드,(지번) 신림동 1640-9,1.8,16건,리뷰 7
경성양꼬치 신림점,양꼬치,(지번) 신림동 1434-16,3.0,6건,리뷰 19
배스킨라빈스 신림점,아이스크림,(지번) 신림동 1637-2,4.5,8건,리뷰 16
현쇼쿠도,일본식주점,(지번) 신림동 1429-2,4.2,5건,리뷰 17
삼촌집,"초밥,롤",(지번) 신림동 1458-2,4.7,11건,리뷰 16
유가네닭갈비 신림점,닭요리,(지번) 신림동 1640-29,3.6,9건,리뷰 30
신룽푸마라탕,중화요리,(지번) 신림동 1424-11,3.4,8건,리뷰 14
현대옥 서울신림역점,국밥,(지번) 신림동 1432-87,2.2,10건,리뷰 16
루체에살레,이탈리안,(지번) 신림동 1455-1,4.9,10건,리뷰 28
서평면옥,냉면,(지번) 신대방동 395-70,4.2,15건,리뷰 19
짬뽕의복수,중화요리,(지번) 신림동 487-5,2.7,11건,리뷰 13
배영만 당진아구동태찜탕 보라매본,아구,(지번) 봉천동 728-83,2.7,3건,리뷰 18
공간마카롱,"제과,베이커리",(지번) 신림동 1641-26,5.0,6건,리뷰 33
오술차 신림점,"호프,요리주점",(지번) 신림동 1639-38,4.2,5건,리뷰 20
계림원 신림점,치킨,(지번) 신림동 1455-2,4.7,3건,리뷰 16
인생고기 신림역점,"육류,고기",(지번) 신림동 1433-59,3.3,3건,리뷰 27
쪽갈비예감 신림점,갈비,(지번) 신림동 1412-12,1.7,3건,리뷰 12
두끼떡볶이 신림역점,떡볶이,(지번) 신림동 1641-23,3.1,17건,리뷰 28
아재포차,실내포장마차,(지번) 신림동 1420-15,2.3,3건,리뷰 96
부엉이돈가스 롯데백화점 관악점,"돈까스,우동",(지번) 봉천동 729-22,4.6,22건,리뷰 110
모스키친,"돈까스,우동",(지번) 신대방동 344-15,4.2,56건,리뷰 101
신림국수,국수,(지번) 신림동 1434-15,3.4,5건,리뷰 36
상남스시,"초밥,롤",(지번) 신대방동 361-50,4.1,37건,리뷰 132
하노이별 신림역점,동남아음식,(지번) 신림동 1421-29,3.7,10건,리뷰 12
시골장칼국수,국수,(지번) 신림동 1421-49,4.8,15건,리뷰 11
갈비촌,갈비,(지번) 신림동 1637-20,1.8,6건,리뷰 11
탕화쿵푸마라탕 신림점,중화요리,(지번) 신림동 1639-19,2.4,11건,리뷰 14
마실밤,술집,(지번) 신림동 1433-227,5.0,7건,리뷰 46
안단단맛,디저트카페,(지번) 신림동 1635-44,4.9,24건,리뷰 38
손칼국수잘하는집,국수,(지번) 신림동 1460-1,4.5,11건,리뷰 13
신림한우,설렁탕,(지번) 신림동 1424-19,0.0,0건,리뷰 34
열정분식소 제발주문점,떡볶이,(지번) 봉천동 968-20,3.7,6건,리뷰 6
할리스 신림사거리점,커피전문점,(지번) 신림동 1433-51,3.2,5건,리뷰 0
서일순대국,순대,(지번) 신대방동 377-1,3.4,118건,리뷰 175
채린,중화요리,(지번) 신림동 1429-4,4.5,10건,리뷰 5
고앤고 본점,"육류,고기",(지번) 봉천동 959-2,4.7,14건,리뷰 28
왕주먹,"육류,고기",(지번) 신림동 75-25,3.8,12건,리뷰 63
배스킨라빈스 보라매타운점,아이스크림,(지번) 봉천동 972-21,3.8,5건,리뷰 4
소문난횟집 어회가,회,(지번) 신림동 1434-21,2.5,6건,리뷰 3
광어2마리15000원&포장전문점,회,(지번) 신림동 1445-16,3.2,9건,리뷰 8
BHC치킨 신림역점,치킨,(지번) 신림동 11-17,1.4,16건,리뷰 8
한남식당,"사철탕,영양탕",(지번) 신림동 1464-15,4.7,3건,리뷰 10
도모다찌,일본식주점,(지번) 봉천동 972-30,5.0,2건,리뷰 8
굽네치킨 신림동점,치킨,(지번) 신림동 1459-8,2.2,5건,리뷰 2
소년의레시피,이탈리안,(지번) 신림동 1695,3.9,24건,리뷰 30
밀가루랑,키즈카페,(지번) 신림동 1443-37,5.0,4건,리뷰 16
마크빈베이커리 신림본점,"제과,베이커리",(지번) 신림동 1640-14,3.4,5건,리뷰 213
뚜레쥬르 신림사거리점,"제과,베이커리",(지번) 신림동 1422-30,3.6,5건,리뷰 5
레드버튼 신림점,보드카페,(지번) 신림동 1640-48,2.6,10건,리뷰 4
동궁찜닭,닭요리,(지번) 신림동 1431-39,3.7,3건,리뷰 0
오장면옥,냉면,(지번) 봉천동 972-5,3.7,3건,리뷰 6
불타는꼬꼬발 신림직영점,닭요리,(지번) 신림동 1416-24,4.3,4건,리뷰 28
생활맥주 신림역점,"호프,요리주점",(지번) 신림동 1432-128,3.7,3건,리뷰 12
마라탕전문점,중식,(지번) 신대방동 395-69,3.7,18건,리뷰 23
오장동흥남집 신림직영점,냉면,(지번) 신림동 1637-11,3.3,6건,리뷰 11
BBQ 보라매공원점,치킨,(지번) 봉천동 732-17,1.0,7건,리뷰 9
남오토코 신림점,일본식주점,(지번) 신림동 1640-28,5.0,2건,리뷰 17
비트포비아 신림점,테마카페,(지번) 신림동 1638-25,1.6,8건,리뷰 19
카츄마마 신림점,"돈까스,우동",(지번) 신림동 1424-28,1.8,5건,리뷰 42
베이징양꼬치훠궈,양꼬치,(지번) 신림동 1430-52,4.4,5건,리뷰 6
싸다김밥 신림역점,분식,(지번) 신림동 1425-17,1.8,10건,리뷰 7
어부사시가,"해물,생선",(지번) 신림동 1640-30,4.0,10건,리뷰 37
푸라닭치킨 신림점,치킨,(지번) 신림동 1433-92,3.4,8건,리뷰 7
숯불삼겹 신림본점,삼겹살,(지번) 신림동 1422-16,3.9,7건,리뷰 11
우마,일본식주점,(지번) 신림동 1695,3.7,6건,리뷰 83
도우다베이커리,"제과,베이커리",(지번) 신림동 1442-17,4.4,16건,리뷰 9
종가할머니보쌈,"족발,보쌈",(지번) 신림동 1640-16,3.0,3건,리뷰 17
포차1979 신림본점,실내포장마차,(지번) 신림동 1464-13,4.0,4건,리뷰 19
초통삼,삼겹살,(지번) 신림동 1639-1,2.3,13건,리뷰 28
불타는조개구이,조개,(지번) 신림동 1433-148,3.8,4건,리뷰 9
찬,일본식주점,(지번) 신림동 1432-176,1.0,1건,리뷰 24
발빠닭 신림역점,닭요리,(지번) 신림동 1640-26,0.0,0건,리뷰 31
피자탑 신림점,피자,(지번) 신림동 1415-27,4.0,5건,리뷰 22
칵테일&드림,칵테일바,(지번) 신림동 1640-13,3.8,11건,리뷰 25
얹다,일본식라면,(지번) 신림동 468-1,4.7,15건,리뷰 9
소야돼지야,"육류,고기",(지번) 신림동 1422-15,5.0,1건,리뷰 17
경성찹쌀꽈배기,도넛,(지번) 봉천동 971-4,5.0,3건,리뷰 5
샐러디 신림역점,샐러드,(지번) 신림동 1422-17,4.3,7건,리뷰 27
리틀하노이 서울신림역점,베트남음식,(지번) 신림동 1641-11,4.6,7건,리뷰 6
동해횟집,회,(지번) 신림동 1424-6,4.8,4건,리뷰 41
죠스떡볶이 신림2호점,떡볶이,(지번) 신림동 1432-70,1.6,12건,리뷰 6
